Operator,   Station        Unit,Zone,PTID,Town,Cnty,St,In-Service,Name Plate Rating (MW),CRIS_Summer,CRIS_Winter,Capability_Summer,Capability_Winter,Dual,Unit_Type,Fuel_1,Fuel_2,Net Energy (GWh)
"RWE Clean Energy Wholesale Services, Inc.",Chautauqua LFGE,A,323629,Jamestown,13,36,2010-02-12,9.6,0,0,0,0,,IC,MTE,,0.8
"Erie Wind, LLC",Erie Wind,A,323693,Lackawanna,29,36,2012-02-01,15,0,0,0,0,,WT,WND,,42.6
Arkwright Summit Wind Farm LLC,Arkwright Summit Wind Farm,A,323751,Arkwright,13,36,2018-09-01,78.4,78.4,78.4,78.4,78.4,,WT,WND,,224.7
"RWE Clean Energy Wholesale Services, Inc.",Lockport CC1,A,323769,Lockport,63,36,1992-07-01,73.8,75.1,87.3,69.6,74.5,YES,CC,NG,FO2,88.3
"RWE Clean Energy Wholesale Services, Inc.",Lockport CC2,A,323770,Lockport,63,36,1992-07-01,73.8,75.1,87.2,69.6,74.5,YES,CC,NG,FO2,
"RWE Clean Energy Wholesale Services, Inc.",Lockport CC3,A,323771,Lockport,63,36,1992-07-01,73.8,75,87.2,69.6,74.5,YES,CC,NG,FO2,
"Cassadaga Wind, LLC",Cassadaga Wind,A,323784,Charlotte,13,36,2021-04-01,126.5,126,126,0,0,,WT,WND,,235.1
Orangeville Energy Storage LLC,Orangeville ESR,A,323794,Orangeville,121,36,2021-10-19,20,0,0,0,0,,ES,BAT,,-3.5
Galt Power Inc.,KCE NY 6,A,323823,Hamburg,29,36,2023-07-01,20,20,20,20,20,,ES,BAT,,-1.7
"Ball Hill Wind Energy, LLC",Ball Hill Wind,A,323825,Hanover,13,36,2024-02-01,107.5,100,100,107.5,107.5,,WT,WND,,55.4
"World Generation X, LLC",Fortistar - N.Tonawanda (BTM:NG),A,323836,N Tonawanda,29,36,1993-06-01,68.5,59,75,53.3,60.7,YES,CC,NG,FO2,32.5
"Seneca Power Partners, L.P.",Allegany,B,23514,Hume,3,36,1995-03-01,67,62.9,82.2,62.8,62.7,,CC,NG,,11.7
"R.E. Ginna Nuclear Power Plant, LLC",R. E. Ginna,B,23603,Ontario,117,36,1970-07-01,614,582,582,581.5,581.8,,NP,UR,,"4,644.90"
Rochester Gas and Electric Corp.,Station 2  1,B,23604,Rochester,55,36,1913-07-01,8.5,6.5,6.5,8.5,8.5,,HY,WAT,,12
Rochester Gas and Electric Corp.,Station 26  1,B,23604,Rochester,55,36,1952-08-01,3,3,3,3,3,,HY,WAT,,
Rochester Gas and Electric Corp.,Station 5  1,B,23604,Rochester,55,36,1918-07-01,14,11.8,11.8,14,14,,HY,WAT,,
Rochester Gas and Electric Corp.,Station 5  2,B,23604,Rochester,55,36,1918-07-01,13.6,11.8,11.8,13.6,13.6,,HY,WAT,,
Rochester Gas and Electric Corp.,Station 5  3,B,23604,Rochester,55,36,1918-07-01,18,16.5,16.5,18,18,,HY,WAT,,
"Seneca Power Partners, L.P.",Batavia,B,24024,Batavia,37,36,1992-06-01,67.3,57.1,71.7,47.7,58,,CC,NG,,3
Erie Blvd. Hydro - Oak Orchard,Glenwood 1,B,24046,Medina,73,36,1950-01-01,0.5,0.5,0.5,0.5,0.5,,HY,WAT,,2.5
Erie Blvd. Hydro - Oak Orchard,Glenwood 2,B,24046,Medina,73,36,1950-01-01,0.5,0.5,0.5,0.5,0.5,,HY,WAT,,2.3
Erie Blvd. Hydro - Oak Orchard,Glenwood 3,B,24046,Medina,73,36,1950-01-01,0.5,0.5,0.5,0.5,0.5,,HY,WAT,,2.9
Erie Blvd. Hydro - Oak Orchard,Oak Orchard,B,24046,Waterport,73,36,1941-01-01,0.4,0.3,0.3,0.4,0.4,,HY,WAT,,0.3
Erie Blvd. Hydro - Oak Orchard,Waterport 1,B,24046,Waterport,73,36,1941-01-01,2.3,1.6,1.6,2.3,2.3,,HY,WAT,,8.6
Erie Blvd. Hydro - Oak Orchard,Waterport 2,B,24046,Waterport,73,36,1968-01-01,2.5,1.8,1.8,2.5,2.5,,HY,WAT,,6.7
Western New York Wind Corp.,Western NY Wind Power,B,24143,Wethersfield,121,36,2000-10-01,6.6,0,0,0,0,,WT,WND,,0
"WM Renewable Energy,LLC",Mill Seat,B,323607,Riga,55,36,2007-07-20,6.4,6.4,6.4,6.4,6.4,,IC,MTE,,52.5
"Innovative Energy Systems, Inc.",Hyland LFGE,B,323620,Angelica,3,36,2008-09-08,4.8,4.8,4.8,4.8,4.8,,IC,MTE,,34.1
Galt Power Inc.,Synergy Biogas,B,323694,Wyoming,121,36,2012-09-01,2,0,0,0,0,,IC,MTE,,4.6
"RED-Rochester, LLC",Red Rochester (BTM:NG),B,323720,Rochester,55,36,2021-04-05,117,14.8,14.8,13.3,10.2,YES,ST,NG,FO2,2
New York State Elec. & Gas Corp.,Allegheny 8,C,23528,Kittanning PA,5,42,1990-10-01,16,14.7,14.7,13.3,16,,HY,WAT,,159.9
New York State Elec. & Gas Corp.,Allegheny 9,C,23528,Kittanning PA,5,42,1990-10-01,22,20.2,20.2,18.2,22,,HY,WAT,,
"Nine Mile Point Nuclear Station, LLC",Nine Mile Point 1,C,23575,Scriba,75,36,1969-11-01,641.8,630.5,630.5,621.4,622.3,,NB,UR,,"4,666.60"
"Nine Mile Point Nuclear Station, LLC",Nine Mile Point 2,C,23744,Scriba,75,36,1988-08-01,"1,399.00","1,310.00","1,310.00","1,274.70","1,297.60",,NB,UR,,"10,837.10"
Emera Energy Services Subsidiary No. 3 LLC,Greenidge 4 (BTM:NG),C,23583,Torrey,123,36,1953-12-01,112.5,106.3,106.3,25.9,42.4,,ST,NG,WD,143
"Constellation Energy Generation, LLC",James A. FitzPatrick,C,23598,Scriba,75,36,1975-07-01,882,858.9,858.9,852.8,852.9,,NB,UR,,"7,373.10"
"Oswego Harbor Power, LLC",Oswego 5,C,23606,Oswego,75,36,1976-02-01,901.8,850.3,850.3,809.5,817.2,,ST,FO6,,9
"Oswego Harbor Power, LLC",Oswego 6,C,23613,Oswego,75,36,1980-07-01,901.8,835.2,835.2,803,808.7,YES,ST,FO6,NG,25.1
"WM Renewable Energy,LLC",High Acres,C,23767,Fairport,117,36,1991-06-01,9.6,9.6,9.6,9.6,9.6,,IC,MTE,,24.3
Indeck Energy Services of Silver Springs,Indeck-Silver Springs,C,23768,Silver Springs,121,36,1991-04-01,56.6,51.5,66.1,51.4,59.8,YES,CC,NG,FO2,36.7
Indeck-Oswego LP,Indeck-Oswego,C,23783,Oswego,75,36,1990-05-01,57.4,51.6,66.7,51.8,60.6,YES,CC,NG,FO2,37.3
"Seneca Energy II, LLC",Seneca Energy 1,C,23797,Seneca Falls,99,36,1996-03-01,8.8,8.8,8.8,8.8,8.8,,IC,MTE,,78.2
"Seneca Energy II, LLC",Seneca Energy 2,C,23797,Seneca Falls,99,36,1997-08-01,8.8,8.8,8.8,8.8,8.8,,IC,MTE,,
"Seneca Energy II, LLC",Ontario LFGE,C,23819,Canandaigua,69,36,2003-12-01,11.2,11.2,11.2,11.2,11.2,,IC,MTE,,78.3
"SBF New York, L.L.C.",Syracuse,C,23985,Syracuse,67,36,1993-09-01,102.7,88.8,109.3,83.2,102.8,YES,CC,NG,FO2,10.8
Erie Blvd. Hydro - Seneca Oswego,Baldwinsville 1,C,24041,Baldwinsville,67,36,1927-01-01,0.3,0.2,0.2,0.3,0.3,,HY,WAT,,1.3
Erie Blvd. Hydro - Seneca Oswego,Baldwinsville 2,C,24041,Baldwinsville,67,36,1927-01-01,0.3,0.2,0.2,0.3,0.3,,HY,WAT,,1.3
Erie Blvd. Hydro - Seneca Oswego,Fulton 1,C,24041,Fulton,75,36,1924-01-01,0.8,0.8,0.8,0.8,0.8,,HY,WAT,,2.8
Erie Blvd. Hydro - Seneca Oswego,Fulton 2,C,24041,Fulton,75,36,1928-01-01,0.5,0.4,0.4,0.5,0.5,,HY,WAT,,3
Erie Blvd. Hydro - Seneca Oswego,Granby 1,C,24041,Granby,75,36,1983-05-01,5,5.1,5.1,5,5,,HY,WAT,,20.2
Erie Blvd. Hydro - Seneca Oswego,Granby 2,C,24041,Granby,75,36,1983-05-01,5,5.1,5.1,5,5,,HY,WAT,,16
Erie Blvd. Hydro - Seneca Oswego,Minetto 2,C,24041,Minetto,75,36,1915-01-01,1.6,1.5,1.5,1.6,1.6,,HY,WAT,,6.5
Erie Blvd. Hydro - Seneca Oswego,Minetto 3,C,24041,Minetto,75,36,1915-01-01,1.6,1.5,1.5,1.6,1.6,,HY,WAT,,6.8
Erie Blvd. Hydro - Seneca Oswego,Minetto 4,C,24041,Minetto,75,36,1915-01-01,1.6,1.5,1.5,1.6,1.6,,HY,WAT,,5.8
Erie Blvd. Hydro - Seneca Oswego,Minetto 5,C,24041,Minetto,75,36,1975-01-01,1.6,1.5,1.5,1.6,1.6,,HY,WAT,,6.1
Erie Blvd. Hydro - Seneca Oswego,Minetto 6,C,24041,Minetto,75,36,1975-01-01,1.6,1.5,1.5,1.6,1.6,,HY,WAT,,6.9
Erie Blvd. Hydro - Seneca Oswego,Oswego Falls E 1,C,24041,Oswego,75,36,1914-01-01,1.5,1.5,1.5,1.5,1.5,,HY,WAT,,8.6
Erie Blvd. Hydro - Seneca Oswego,Oswego Falls E 2,C,24041,Oswego,75,36,1914-01-01,1.5,1.5,1.5,1.5,1.5,,HY,WAT,,7.5
Erie Blvd. Hydro - Seneca Oswego,Oswego Falls E 3,C,24041,Oswego,75,36,1914-01-01,1.5,1.5,1.5,1.5,1.5,,HY,WAT,,7.6
Erie Blvd. Hydro - Seneca Oswego,Oswego Falls W 4,C,24041,Oswego,75,36,1914-01-01,0.9,1,1,0.9,0.9,,HY,WAT,,1.9
Erie Blvd. Hydro - Seneca Oswego,Oswego Falls W 5,C,24041,Oswego,75,36,1914-01-01,0.9,1,1,0.9,0.9,,HY,WAT,,3.1
Erie Blvd. Hydro - Seneca Oswego,Oswego Falls W 6,C,24041,Oswego,75,36,2007-01-01,0.5,0.5,0.5,0.5,0.5,,HY,WAT,,2
Erie Blvd. Hydro - Seneca Oswego,Oswego Falls W 7,C,24041,Oswego,75,36,2007-01-01,0.5,0.5,0.5,0.5,0.5,,HY,WAT,,1.3
Erie Blvd. Hydro - Seneca Oswego,Varick 2,C,24041,Oswego,75,36,1926-01-01,2.2,1.9,1.9,2.2,2.2,,HY,WAT,,6.6
Erie Blvd. Hydro - Seneca Oswego,Varick 3,C,24041,Oswego,75,36,1926-01-01,2.2,2.1,2.1,2.2,2.2,,HY,WAT,,7.5
Erie Blvd. Hydro - Seneca Oswego,Varick 4,C,24041,Oswego,75,36,1926-01-01,2.2,1.9,1.9,2.2,2.2,,HY,WAT,,2.7
Erie Blvd. Hydro - Seneca Oswego,Varick 5,C,24041,Oswego,75,36,1926-01-01,2.2,1.9,1.9,2.2,2.2,,HY,WAT,,5.9
Erie Blvd. Hydro - South Salmon,Bennetts Bridge 1,C,24043,Altmar,75,36,1964-01-01,6.4,7,7,6.4,6.4,,HY,WAT,,11.2
Erie Blvd. Hydro - South Salmon,Bennetts Bridge 2,C,24043,Altmar,75,36,1966-01-01,6.4,7,7,6.4,6.4,,HY,WAT,,19.5
Erie Blvd. Hydro - South Salmon,Bennetts Bridge 3,C,24043,Altmar,75,36,1970-01-01,7,7.7,7.7,7,7,,HY,WAT,,35.7
Erie Blvd. Hydro - South Salmon,Bennetts Bridge 4,C,24043,Altmar,75,36,1970-01-01,7,7.7,7.7,7,7,,HY,WAT,,29.5
Erie Blvd. Hydro - South Salmon,Lighthouse Hill 1,C,24043,Altmar,75,36,1930-01-01,3.8,4.1,4.1,3.8,3.8,,HY,WAT,,15.6
Erie Blvd. Hydro - South Salmon,Lighthouse Hill 2,C,24043,Altmar,75,36,1930-01-01,3.8,4.1,4.1,3.8,3.8,,HY,WAT,,8.5
Carr Street Generating Station LP,Carr St.-E. Syr,C,24060,Dewitt,67,36,1993-08-01,122.6,89,116.8,89.8,104.4,YES,CC,NG,FO2,66
"Dynegy Marketing and Trade, LLC",Independence GS1,C,24169,Scriba,75,36,1994-11-01,313.5,253.2,303,245.1,299.3,,CC,NG,,"4,049.20"
"Dynegy Marketing and Trade, LLC",Independence GS2,C,24170,Scriba,75,36,1994-11-01,313.5,253.2,302.9,245.1,299.3,,CC,NG,,
"Dynegy Marketing and Trade, LLC",Independence GS3,C,24171,Scriba,75,36,1994-11-01,313.5,253.3,303,245.1,299.3,,CC,NG,,
"Dynegy Marketing and Trade, LLC",Independence GS4,C,24172,Scriba,75,36,1994-11-01,313.5,253.2,302.8,245.1,299.3,,CC,NG,,
Canastota Windpower LLC,Fenner Wind Power,C,24204,Fenner,53,36,2001-12-01,30,30,30,0,0,,WT,WND,,70.4
"Broome Energy Resources, LLC",Broome LFGE,C,323600,Binghamton,7,36,2007-09-01,2.4,2.1,2.1,2.4,2.4,,IC,MTE,,13
"Canandaigua Power Partners, LLC",Canandaigua Wind Power,C,323617,Avoca,101,36,2008-12-05,125,125,125,125,125,,WT,WND,,266.1
Sheldon Energy LLC,High Sheldon Wind Farm,C,323625,Sheldon,121,36,2009-02-01,118.1,112.5,112.5,118.1,118.1,,WT,WND,,177.5
"Valcour Wethersfield Windpark, LLC",Wethersfield Wind Power,C,323626,Wethersfield,121,36,2008-12-11,126,126,126,126,126,,WT,WND,,193.1
"Broome Energy Resources, LLC",Broome 2 LFGE,C,323671,Binghamton,7,36,2013-01-31,2.1,2,2,2.1,2.1,,IC,MTE,,13.9
Howard Wind LLC,Howard Wind,C,323690,Howard,101,36,2011-12-01,55.4,57.4,57.4,55.4,55.4,,WT,WND,,107.8
Stony Creek Energy LLC,Orangeville Wind Farm,C,323706,Orangeville,121,36,2013-12-01,93.9,94.4,94.4,93.9,93.9,,WT,WND,,221.8
Marsh Hill Energy LLC,Marsh Hill Wind Farm,C,323713,Jasper,101,36,2014-12-01,16.2,0,0,0,0,,WT,WND,,38.4
Galt Power Inc.,East Pulaski ESR ,C,323781,Oswego,75,36,2019-05-01,2,0,0,0,0,,ES,BAT,,
Galt Power Inc.,Puckett Solar,C,323809,Greene,17,36,2022-09-27,20,20,20,20,20,,PV,SUN,,31.3
Galt Power Inc.,Janis Solar,C,323808,Willet,23,36,2023-02-23,20,20,20,20,20,,PV,SUN,,28.9
"NextEra Energy Marketing, LLC",Eight Point Wind,C,323820,Greenwood,101,36,2023-02-08,111.2,101.2,101.2,111.2,111.2,,WT,WND,,232.4
"Baron Winds, LLC",Baron Winds,C,323822,Cohocton,101,36,2023-02-07,238.4,300,300,121.8,121.8,,WT,WND,,295.7
New York Power Authority,St Lawrence - FDR (Fleet),D,23600,Massena,89,36,1958-07-01,"1,088.00",856,856,856,800,,HY,WAT,,"7,138.60"
New York State Elec. & Gas Corp.,Cadyville 1,D,23628,Schuyler Falls,19,36,1921-08-01,1.2,1,1,1.2,1.2,,HY,WAT,,153.7
New York State Elec. & Gas Corp.,Cadyville 2,D,23628,Schuyler Falls,19,36,1921-08-01,1.2,1,1,1.2,1.2,,HY,WAT,,
New York State Elec. & Gas Corp.,Cadyville 3,D,23628,Schuyler Falls,19,36,1986-09-01,3.1,2.7,2.7,3.1,3.1,,HY,WAT,,
New York State Elec. & Gas Corp.,High Falls  1,D,23628,Saranac,19,36,1948-08-01,4,4.3,4.3,4,4,,HY,WAT,,
New York State Elec. & Gas Corp.,High Falls  2,D,23628,Saranac,19,36,1949-08-01,4,4.3,4.3,4,4,,HY,WAT,,
New York State Elec. & Gas Corp.,High Falls  3,D,23628,Saranac,19,36,1956-08-01,7,8.2,8.2,7,7,,HY,WAT,,
New York State Elec. & Gas Corp.,Kent Falls 1,D,23628,Schuyler Falls,19,36,1928-08-01,3.6,3,3,3.6,3.6,,HY,WAT,,
New York State Elec. & Gas Corp.,Kent Falls 2,D,23628,Schuyler Falls,19,36,1928-08-01,3.6,3,3,3.6,3.6,,HY,WAT,,
New York State Elec. & Gas Corp.,Kent Falls 3,D,23628,Schuyler Falls,19,36,1985-07-01,6.4,6,6,6.4,6.4,,HY,WAT,,
New York State Elec. & Gas Corp.,Mill C 1,D,23628,Plattsburgh,19,36,1944-08-01,1,0.9,0.9,1,1,,HY,WAT,,
New York State Elec. & Gas Corp.,Mill C 2,D,23628,Plattsburgh,19,36,1943-08-01,1.2,1.2,1.2,1.2,1.2,,HY,WAT,,
New York State Elec. & Gas Corp.,Mill C 3,D,23628,Plattsburgh,19,36,1984-11-01,3.8,3.7,3.7,3.8,3.8,,HY,WAT,,
New York State Elec. & Gas Corp.,Rainbow Falls 1,D,23628,Ausable,19,36,1926-08-01,1.3,1.5,1.5,1.3,1.3,,HY,WAT,,
New York State Elec. & Gas Corp.,Rainbow Falls 2,D,23628,Ausable,19,36,1927-08-01,1.3,1.5,1.5,1.3,1.3,,HY,WAT,,
"Seneca Power Partners, L.P.",Massena,D,23902,Massena,89,36,1992-07-01,102.1,82.2,107.9,79.5,92.3,YES,CC,NG,FO2,21.9
Erie Blvd. Hydro - North Salmon,Allens Falls,D,24042,Allens Falls,89,36,1927-01-01,4.4,5,5,4.4,4.4,,HY,WAT,,31.5
Erie Blvd. Hydro - North Salmon,Chasm 1,D,24042,Chateaugay,33,36,1913-01-01,1,1.1,1.1,1,1,,HY,WAT,,7.5
Erie Blvd. Hydro - North Salmon,Chasm 2,D,24042,Chateaugay,33,36,1913-01-01,1,1.1,1.1,1,1,,HY,WAT,,8.8
Erie Blvd. Hydro - North Salmon,Chasm 3,D,24042,Chateaugay,33,36,1926-01-01,1.4,1.6,1.6,1.4,1.4,,HY,WAT,,10.1
Erie Blvd. Hydro - North Salmon,Franklin 1,D,24042,Franklin,33,36,1911-01-01,1.1,1.1,1.1,1.1,1.1,,HY,WAT,,5.5
Erie Blvd. Hydro - North Salmon,Franklin 2,D,24042,Franklin,33,36,1926-01-01,1.1,1.1,1.1,1.1,1.1,,HY,WAT,,6.8
Erie Blvd. Hydro - North Salmon,Macomb,D,24042,Malone,33,36,1940-01-01,1,1.1,1.1,1,1,,HY,WAT,,7.1
Erie Blvd. Hydro - North Salmon,Parishville,D,24042,Parishville,89,36,1925-01-01,2.4,2.4,2.4,2.4,2.4,,HY,WAT,,16.3
Erie Blvd. Hydro - North Salmon,Piercefield 1,D,24042,Piercefield,89,36,1957-01-01,1.5,1.6,1.6,1.5,1.5,,HY,WAT,,9
Erie Blvd. Hydro - North Salmon,Piercefield 2,D,24042,Piercefield,89,36,1924-01-01,0.6,0.6,0.6,0.6,0.6,,HY,WAT,,1.7
Erie Blvd. Hydro - North Salmon,Piercefield 3,D,24042,Piercefield,89,36,1924-01-01,0.6,0.6,0.6,0.6,0.6,,HY,WAT,,3.5
"Valcour Ellenburg Windapark,LLC",Ellenburg Wind Power,D,323604,Ellenburg,19,36,2008-03-31,81,81,81,81,81,,WT,WND,,115.7
"Valcour Clinton Windpark,LLC",Clinton Wind Power,D,323605,Clinton,19,36,2008-04-09,100.5,100.5,100.5,100.5,100.5,,WT,WND,,125.3
"Valcour Altona Windpark, LLC",Altona Wind Power,D,323606,Altona,19,36,2008-09-23,97.5,97.5,97.5,97.5,97.5,,WT,WND,,124.6
"Valcour  Chateaugay Windpark, LLC",Chateaugay Wind Power,D,323614,Chateaugay,33,36,2008-10-07,106.5,106.5,106.5,106.5,106.5,,WT,WND,,144.6
"Innovative Energy Systems, Inc.",Clinton LFGE,D,323618,Morrisonville,19,36,2008-10-01,6.4,6.4,6.4,6.4,6.4,,IC,MTE,,47.3
Marble River LLC,Marble River Wind,D,323696,Ellenburg,19,36,2012-07-01,215.2,215.2,215.2,215.2,215.2,,WT,WND,,386.7
Jericho Rise Wind Farm LLC,Jericho Rise Wind Farm,D,323719,Chateaugay,33,36,2016-12-01,77.7,77.7,77.7,77.7,77.7,,WT,WND,,184.8
New York Power Authority,North Country ESR,D,323785,Chateaugay,33,36,2023-02-01,20,0,0,0,0,,ES,BAT,,-1
"Saranac Power Partners ,L.P",Saranac Energy CC1,D,323796,Plattsburgh,19,36,1994-06-01,142.8,126.9,149.2,121.8,147,,CC,NG,,159.2
"Saranac Power Partners ,L.P",Saranac Energy CC2,D,323797,Plattsburgh,19,36,1994-06-01,142.8,126.8,149.2,116.1,148.1,,CC,NG,,
"Northbrook Lyons Falls, LLC",Lyons Falls Hydro (BTM:NG),E,23570,Lyons Falls,49,36,1986-01-01,8.6,0,0,0,0,,HY,WAT,,28.9
New York Power Authority,Jarvis 1,E,23743,Hinckley,65,36,1991-07-01,4.5,4.5,4.5,9,9,,HY,WAT,,16.7
New York Power Authority,Jarvis 2,E,23743,Hinckley,65,36,1991-07-01,4.5,4.5,4.5,9,9,,HY,WAT,,14.7
"Seneca Power Partners, L.P.",Sterling,E,23777,Sherrill,65,36,1991-06-01,65.3,57.4,72.1,49.7,60.3,,CC,NG,,2.1
"Black River Hydroelectric, LLC",Glen Park Hydro,E,23778,Glen Park,45,36,1986-01-01,32.6,40.4,40.4,32.6,32.6,,HY,WAT,,130.1
"Seneca Power Partners, L.P.",Carthage Energy,E,23857,Carthage,45,36,1991-08-01,62.9,59,70.6,56.4,63.1,YES,CC,NG,FO2,2.3
"SBF New York, L.L.C.",Beaver Falls,E,23983,Beaver Falls,49,36,1995-03-01,107.8,80.2,94.9,78.1,91.2,YES,CC,NG,FO2,4.4
Erie Blvd. Hydro - Oswegatchie,Browns Falls 1,E,24044,Oswegatchie,89,36,1923-01-01,7.5,8,8,7.5,7.5,,HY,WAT,,34.6
Erie Blvd. Hydro - Oswegatchie,Browns Falls 2,E,24044,Oswegatchie,89,36,1923-01-01,7.5,8,8,7.5,7.5,,HY,WAT,,24.5
Erie Blvd. Hydro - Oswegatchie,Eel Weir 1,E,24044,Heuvelton,89,36,1928-01-01,0.5,0.3,0.3,0.5,0.5,,HY,WAT,,2
Erie Blvd. Hydro - Oswegatchie,Eel Weir 2,E,24044,Heuvelton,89,36,1938-01-01,1.1,0.8,0.8,1.1,1.1,,HY,WAT,,2.9
Erie Blvd. Hydro - Oswegatchie,Eel Weir 3,E,24044,Heuvelton,89,36,1938-01-01,1.1,0.8,0.8,1.1,1.1,,HY,WAT,,4.1
Erie Blvd. Hydro - Oswegatchie,Flat Rock 1,E,24044,Flat Rock,89,36,1924-01-01,3,2.6,2.6,3,3,,HY,WAT,,12.3
Erie Blvd. Hydro - Oswegatchie,Flat Rock 2,E,24044,Flat Rock,89,36,1924-01-01,3,2.6,2.6,3,3,,HY,WAT,,9
Erie Blvd. Hydro - Oswegatchie,Heuvelton 1,E,24044,Heuvelton,89,36,1924-01-01,0.5,0.4,0.4,0.5,0.5,,HY,WAT,,2.6
Erie Blvd. Hydro - Oswegatchie,Heuvelton 2,E,24044,Heuvelton,89,36,1924-01-01,0.5,0.4,0.4,0.5,0.5,,HY,WAT,,2.3
Erie Blvd. Hydro - Oswegatchie,Lower Newton Falls 1,E,24044,Newton Falls,89,36,2002-07-01,0.5,0.6,0.6,0.5,0.5,,HY,WAT,,2.4
Erie Blvd. Hydro - Oswegatchie,Oswegatchie 1,E,24044,Oswegatchie,89,36,1937-01-01,0.6,1.3,1.3,0.6,0.6,,HY,WAT,,4.4
Erie Blvd. Hydro - Oswegatchie,Oswegatchie 2,E,24044,Oswegatchie,89,36,1937-01-01,0.2,0.5,0.5,0.2,0.2,,HY,WAT,,4.3
Erie Blvd. Hydro - Oswegatchie,South Edwards 1,E,24044,South Edwards,89,36,1937-01-01,1,1.2,1.2,1,1,,HY,WAT,,9.3
Erie Blvd. Hydro - Oswegatchie,South Edwards 2,E,24044,South Edwards,89,36,1937-01-01,1,1.2,1.2,1,1,,HY,WAT,,5.9
Erie Blvd. Hydro - Oswegatchie,South Edwards 3,E,24044,South Edwards,89,36,1921-01-01,0.7,0.8,0.8,0.7,0.7,,HY,WAT,,4.5
Erie Blvd. Hydro - Oswegatchie,South Edwards 4,E,24044,South Edwards,89,36,1937-01-01,0.2,0.2,0.2,0.2,0.2,,HY,WAT,,1.8
Erie Blvd. Hydro - Oswegatchie,Talcville 1,E,24044,Edwards,89,36,1986-12-01,0.5,0.4,0.4,0.5,0.5,,HY,WAT,,0
Erie Blvd. Hydro - Oswegatchie,Talcville 2,E,24044,Edwards,89,36,1986-12-01,0.5,0.4,0.4,0.5,0.5,,HY,WAT,,0.6
Erie Blvd. Hydro - Oswegatchie,Upper Newton Falls 2,E,24044,Newton Falls,89,36,2002-07-01,0.5,0.4,0.4,0.5,0.5,,HY,WAT,,3.6
Erie Blvd. Hydro - Oswegatchie,Upper Newton Falls 3,E,24044,Newton Falls,89,36,2002-07-01,0.5,0.4,0.4,0.5,0.5,,HY,WAT,,2.7
Erie Blvd. Hydro - Oswegatchie,Upper Newton Falls 4,E,24044,Newton Falls,89,36,2002-07-01,0.5,0.4,0.4,0.5,0.5,,HY,WAT,,1.2
Erie Blvd. Hydro - Black River,Beebee Island 1,E,24047,Watertown,45,36,1963-01-01,4,4.4,4.4,4,4,,HY,WAT,,21.3
Erie Blvd. Hydro - Black River,Beebee Island 2,E,24047,Watertown,45,36,1968-01-01,4,4.4,4.4,4,4,,HY,WAT,,33.2
Erie Blvd. Hydro - Black River,Black River 1,E,24047,Black River,45,36,1920-01-01,2,2.3,2.3,2,2,,HY,WAT,,9.4
